Watching for file changes with StatReloader
[03/Apr/2026 19:55:44] "GET /api/accounts/me/ HTTP/1.1" 200 2424
[03/Apr/2026 19:55:44] "GET /api/accounts/me/ HTTP/1.1" 200 2424
C:\Users\ADMIN\Desktop\StartupOS\accounts\serializers.py changed, reloading.
Watching for file changes with StatReloader
[03/Apr/2026 19:56:36] "GET /api/accounts/me/ HTTP/1.1" 200 2424
[03/Apr/2026 19:56:36] "GET /api/accounts/me/ HTTP/1.1" 200 2424
[03/Apr/2026 19:56:38] "POST /api/accounts/login/ HTTP/1.1" 200 1255
[03/Apr/2026 19:56:38] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:56:38] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:56:38] "GET /api/notifications/ HTTP/1.1" 200 1057
[03/Apr/2026 19:56:38] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:56:38] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:56:38] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:56:38] "GET /api/notifications/ HTTP/1.1" 200 1057
[03/Apr/2026 19:56:38] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:57:17] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:57:17] "GET /api/notifications/ HTTP/1.1" 200 1057
[03/Apr/2026 19:57:17] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:57:17] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:57:17] "GET /api/tasks/projects/ HTTP/1.1" 200 275
[03/Apr/2026 19:57:17] "GET /api/notifications/ HTTP/1.1" 200 1057
[03/Apr/2026 19:57:17] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:57:17] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:57:24] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:57:24] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:57:24] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:57:24] "GET /api/accounts/users/ HTTP/1.1" 200 2858
[03/Apr/2026 19:57:26] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:57:26] "GET /api/audit-logs/ HTTP/1.1" 200 4865
[03/Apr/2026 19:57:26] "GET /api/tasks/tasks/ HTTP/1.1" 200 369
[03/Apr/2026 19:57:26] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:57:26] "GET /api/notifications/ HTTP/1.1" 200 1057
[03/Apr/2026 19:57:26] "GET /api/audit-logs/ HTTP/1.1" 200 4865
[03/Apr/2026 19:57:26] "GET /api/requests/ HTTP/1.1" 200 1123
[03/Apr/2026 19:57:26] "GET /api/notifications/ HTTP/1.1" 200 1057
[03/Apr/2026 19:57:55] "POST /api/accounts/login/ HTTP/1.1" 200 3097
[03/Apr/2026 19:57:55] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:57:55] "GET /api/notifications/ HTTP/1.1" 200 375
[03/Apr/2026 19:57:55] "GET /api/roles/roles/ HTTP/1.1" 200 2063
[03/Apr/2026 19:57:55] "GET /api/accounts/users/ HTTP/1.1" 200 2858
